"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"132" 35.7722 27.3917 5.5119 27.8856
"133" 35.6466 21.3504 5.5734 21.8966
"134" 35.8082 26.5705 5.6778 27.5734
"135" 35.7379 26.1875 5.7177 26.7805
"136" 35.6859 21.6909 5.5252 21.9764
"137" 35.6772 26.7168 5.6134 26.6476
"138" 35.5434 22.4971 5.6789 23.5277
"139" 35.6739 26.7109 5.4294 26.5136
"140" 35.6093 22.4975 5.6765 22.923
"141" 35.5027 22.923 5.6937 23.508
"142" 35.713 27.6904 5.7204 27.3985
"143" 35.621 27.1905 5.8086 27.3713
"144" 35.4555 23.8695 5.7145 25.1967
"145" 35.6214 22.1362 5.6547 22.2924
"146" 35.8204 23.2982 5.617 22.8227
"147" 35.3984 23.5016 5.7354 25.1238
"148" 35.6639 25.1628 5.5092 24.9873
"149" 35.8076 27.6841 5.5918 27.2606
"150" 35.6735 27.0761 5.9164 27.3969
"151" 35.7061 27.0401 5.5386 27.366
"152" 35.4685 23.94 5.5703 24.413
"153" 35.7518 26.9061 5.422 26.7053
"154" 35.4907 26.9599 5.7813 27.4435
"155" 35.7978 27.4668 5.5552 27.5519
"156" 35.6034 21.8301 5.6617 22.2165
"157" 35.7098 21.5085 5.5281 22.0171
"158" 35.8965 27.8 5.4579 28.0896
"159" 35.4963 24.0422 5.6133 25.129
"160" 35.6269 24.2481 5.7263 24.9497
"161" 35.5592 22.5421 5.8415 23.2692
"162" 35.6282 27.2209 5.8668 27.4826
"163" 35.4485 24.0577 5.6237 24.5902
"164" 35.755 24.3132 5.5551 24.8288
"165" 35.7725 26.8522 5.5798 27.2252
"166" 35.5693 26.6934 5.8412 27.116
"167" 35.6844 22.2063 5.674 22.1205
"168" 35.9016 27.9852 5.4583 28.2377
"169" 35.5448 22.6332 5.5739 22.5182
"170" 35.66 27.1798 5.8128 27.3924
"171" 35.6757 21.1835 5.6058 22.4017
"172" 35.6882 21.286 5.6032 22.243
"173" 35.8153 26.9073 5.5146 27.9967
"174" 35.7319 21.5457 5.7555 21.7005
"175" 35.5354 22.8714 5.5956 23.3702
"176" 35.5323 22.6648 5.5835 22.845
"177" 35.6723 25.9124 5.5349 26.2749
"178" 35.5217 24.3077 5.6058 25.3517
"179" 35.7444 25.3147 5.5398 25.6632
"180" 35.8657 27.4413 5.6656 27.6581
"181" 35.5725 22.4795 5.7469 22.4948
"182" 35.7337 25.8722 5.4529 25.7895
"183" 35.8294 27.8618 5.5556 27.5773
"184" 35.392 25.9967 5.6818 26.5671
"185" 35.4355 27.244 5.7777 27.7867
"186" 35.6856 22.2848 5.4885 22.1617
"187" 35.4759 25.8027 5.9044 26.6682
"188" 35.7315 27.2078 5.8798 26.8238
"189" 35.6861 20.6964 5.7991 21.3833
"190" 35.5851 21.9179 5.7398 22.2715
"191" 35.7557 27.2454 5.6609 26.9846
"192" 35.6597 26.569 5.7104 26.3
"193" 35.5103 25.0981 5.7196 25.5031
"194" 35.9134 27.6893 5.6031 27.7342
"195" 35.9446 27.3776 5.6822 27.43
"196" 35.6646 21.5253 5.5145 22.1775
"197" 35.6966 25.1322 5.4933 25.0273
"198" 35.7337 22.9108 5.4824 22.4776
"199" 35.6026 21.7488 5.5872 22.0965
"200" 35.4289 27.2654 5.8141 27.2222
"201" 35.6947 21.7369 5.6812 22.1785
"202" 35.7327 22.1063 5.6929 22.1625
