HeronIsland-Salinity(practical salinity units),HeronIsland-Water Temperature(degrees celsius),HeronIsland-Water Pressure(decibar),LadyMusgrave-Water Temperature (degrees celsius)
35.5964,27.5036,5.5028,27.8674
35.7872,27.478,5.4832,27.9459
35.8707,27.7953,5.4748,28.112
35.8898,28.0917,5.4542,28.2587
35.9016,27.9852,5.4583,28.2377
35.8965,27.8,5.4579,28.0896
35.8839,27.5261,5.4596,27.8687
35.8153,26.9073,5.5146,27.9967
35.7722,27.3917,5.5119,27.8856
35.8864,27.1133,5.5623,27.9794
35.8823,27.2819,5.6063,27.7701
35.8657,27.4413,5.6656,27.6581
35.8694,27.2612,5.6999,27.6145
35.894,27.3521,5.6773,27.8964
35.8641,27.5959,5.6034,28.3602
35.8584,27.9366,5.5516,28.4929
35.8607,28.0768,5.5141,28.3449
35.8687,28.0775,5.5145,28.1243
35.8797,27.9356,5.5371,28.078
35.9035,27.845,5.571,27.8852
35.9102,27.7022,5.6239,27.5522
35.9158,27.4718,5.6216,27.5107
35.9464,27.3832,5.6387,27.4516
35.9446,27.3776,5.6822,27.43
35.9348,27.4595,5.6733,27.447
35.9356,27.3844,5.6471,27.4962
35.9285,27.2971,5.6525,27.3869
35.925,27.1174,5.658,27.4435
35.9134,27.6893,5.6031,27.7342
35.8328,27.8641,5.5408,27.7183
35.8294,27.8618,5.5556,27.5773
35.8344,27.9388,5.5915,27.5259
35.8426,27.8152,5.5943,27.6347
35.8554,27.6278,5.5751,27.6159
35.8853,27.5589,5.5576,27.5911
35.8707,27.6483,5.5809,27.4594
35.8076,27.7173,5.5211,27.4047
35.8619,27.6603,5.563,27.1489
35.8298,27.9503,5.5768,27.2703
35.813,27.8881,5.5819,27.2334
35.8076,27.6841,5.5918,27.2606
35.7727,27.3346,5.5921,27.7567
35.9918,27.6828,5.5633,27.5438
35.9327,27.8464,5.5664,27.6827
35.8945,27.7089,5.5465,27.7231
35.9126,27.6892,5.5198,27.6362
35.8955,27.6862,5.5093,27.6816
35.9034,27.7196,5.5137,27.7091
35.8767,27.6724,5.5414,27.211
35.867,27.5301,5.584,27.2333
35.8701,27.3752,5.6123,27.1752
35.8741,27.1521,5.5969,27.2383
35.8302,27.0161,5.5615,26.8211
35.7557,26.9091,5.5567,26.9598
35.7572,27.0454,5.5572,27.0999
35.7523,27.1721,5.5648,27.0934
35.7263,27.1674,5.5833,27.1229
35.7415,27.1223,5.5973,27.1169
35.7725,26.8522,5.5798,27.2252
35.7368,27.2037,5.5632,27.1979
35.7067,27.3591,5.5244,26.3597
35.688,27.3247,5.4883,27.0878
35.6593,27.1149,5.4632,26.9421
35.6551,26.8839,5.486,27.0162
35.6441,26.7704,5.4835,26.7266
35.6175,26.6625,5.4773,26.5021
35.62,26.5391,5.4899,26.2637
35.6281,26.8404,5.4872,26.5177
35.7624,26.3775,5.6363,26.3708
35.7944,26.196,5.62,26.4997
35.858,26.0068,5.585,26.3955
35.6949,25.9671,5.5721,26.2873
35.6723,25.9124,5.5349,26.2749
35.6991,26.1195,5.5149,26.4665
35.734,26.8617,5.4467,26.5784
35.6869,27.05,5.4301,26.6462
35.7518,26.9061,5.422,26.7053
35.7306,26.9659,5.4418,26.5857
35.6739,26.7109,5.4294,26.5136
35.7905,26.5782,5.467,26.4179
35.7902,26.2381,5.4872,26.4293
35.8231,26.1162,5.4918,26.5684
35.873,26.3901,5.478,26.7016
35.834,26.3513,5.468,26.809
35.8739,26.2537,5.521,26.7603
35.8583,26.3718,5.5199,26.7626
35.822,26.4366,5.4938,26.7262
35.7641,26.4293,5.5431,26.7111
35.7675,26.1695,5.53,26.7749
35.7355,26.0576,5.4961,26.4484
35.7383,26.1235,5.4763,26.0093
35.7218,26.1833,5.4706,25.9095
35.7099,26.0745,5.4767,25.7594
35.7141,25.907,5.4987,25.7393
35.7195,25.6366,5.5086,25.6214
35.7444,25.3147,5.5398,25.6632
35.7523,24.9112,5.5651,25.8528
35.7007,24.9762,5.5522,26.0399
35.6495,25.6399,5.5182,26.1394
35.7337,25.8722,5.4529,25.7895
35.7757,26.2617,5.4028,25.7862
35.7479,26.0126,5.3881,25.5316
35.7316,25.9382,5.3769,25.5157
35.7064,25.8166,5.387,25.5336
35.6969,25.8059,5.3965,25.4838
35.6868,25.6348,5.4188,25.2863
35.6785,25.4395,5.4379,25.2552
35.682,25.4087,5.4448,25.1354
35.6946,25.2329,5.4561,25.0794
35.6966,25.1322,5.4933,25.0273
35.704,25.0376,5.5246,25.1144
35.6899,25.1679,5.515,25.2465
35.6599,25.2817,5.5115,25.1852
35.6677,25.2891,5.5136,25.3032
35.6639,25.1628,5.5092,24.9873
35.7291,24.5409,5.5396,24.9373
35.755,24.3132,5.5551,24.8288
35.779,24.2304,5.552,24.8225
35.7878,24.3808,5.5418,24.9678
35.7904,24.2285,5.566,25.1333
35.8582,23.7887,5.5611,25.0181
35.8541,23.9654,5.5359,24.8124
35.8034,23.9498,5.5138,24.7042
35.7511,23.7181,5.5227,24.1252
35.6706,23.5674,5.551,24.0839
35.688,23.7538,5.5031,24.2421
35.8175,23.3139,5.5131,23.3378
35.7752,22.6436,5.5288,23.2077
35.7564,23.2601,5.5085,23.1379
35.841,23.7365,5.5031,23.3808
35.8445,23.4635,5.4991,23.5876
35.8113,23.4944,5.5023,23.592
35.7971,23.3128,5.5092,23.3296
35.7905,23.3412,5.5497,23.3608
35.7992,23.2593,5.5879,23.4397
35.8278,23.0977,5.6056,23.3146
35.8383,22.5889,5.6389,23.159
35.8328,22.9819,5.6182,22.9614
35.8204,23.2982,5.617,22.8227
35.8175,23.1196,5.6056,22.9338
35.7756,23.3449,5.5826,23.0046
35.8256,23.2794,5.5692,23.0874
35.7497,23.1561,5.5041,22.8734
35.7789,23.2353,5.5065,22.9264
35.77,22.7945,5.5214,22.7939
35.7905,22.6352,5.5182,22.7744
35.7614,22.5379,5.5126,22.6324
35.7253,22.7717,5.4964,22.3341
35.7337,22.9108,5.4824,22.4776
35.7345,22.6501,5.484,22.5883
35.6903,22.6975,5.4791,22.2746
35.6712,22.8738,5.4618,22.2906
35.6962,22.8224,5.4901,22.4183
35.6771,22.9344,5.508,22.5844
35.677,22.7788,5.5037,22.5238
35.6662,22.8585,5.4826,22.5283
35.6613,23.2102,5.4651,22.724
35.6682,22.9627,5.4615,22.7723
35.701,22.6803,5.4357,22.7051
35.6744,22.9565,5.436,22.5297
35.6648,22.7745,5.4392,22.5419
35.6582,22.6102,5.4488,22.3488
35.6712,22.6859,5.4345,22.1403
35.6714,22.5826,5.4575,22.1377
35.6856,22.2848,5.4885,22.1617
35.696,22.2506,5.5007,22.1413
35.7073,22.2151,5.4903,22.0097
35.7101,22.2151,5.473,22.0174
35.7073,22.1737,5.4919,21.9596
35.6974,22.0809,5.4885,21.974
35.6881,22.1772,5.4859,21.9172
35.6802,21.9281,5.4956,21.9368
35.6859,21.6909,5.5252,21.9764
35.7098,21.5085,5.5281,22.0171
35.7334,21.2369,5.5046,22.1113
35.7266,21.1662,5.4801,22.1088
35.736,21.2447,5.4598,21.5777
35.6795,21.5638,5.4464,21.5169
35.6395,21.9915,5.4274,21.5518
35.6476,21.9961,5.4539,21.6123
35.6531,21.8757,5.4935,21.5221
35.6537,21.7947,5.5156,21.5819
35.661,21.6592,5.5711,21.6275
35.6643,21.5507,5.5938,21.5735
35.6877,21.0654,5.5867,21.547
35.7017,20.5336,5.5729,21.3873
35.6696,20.9723,5.5541,21.7267
35.6093,22.0163,5.4815,21.8973
35.6239,22.3968,5.4574,21.9634
35.6262,22.2689,5.4732,21.9416
35.6388,22.1178,5.4623,21.9475
35.6407,22.0626,5.4888,21.908
35.6419,21.9113,5.5316,21.9339
35.6466,21.3504,5.5734,21.8966
35.6429,20.949,5.5574,21.9207
35.6677,20.8084,5.585,22.009
35.711,20.9987,5.6096,22.0336
35.7095,21.1951,5.5904,22.1663
35.6664,21.6228,5.553,22.245
35.6547,21.7019,5.5368,22.1888
35.66,21.5368,5.5491,22.2271
35.6334,21.7371,5.5638,22.2878
35.6483,21.5122,5.5893,22.3294
