"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"132" 35.5459 25.7053 5.653 25.213
"133" 35.6419 21.9113 5.5316 21.9339
"134" 35.7572 27.0454 5.5572 27.0999
"135" 35.7008 27.7281 5.7249 27.2504
"136" 35.6861 20.6964 5.7991 21.3833
"137" 35.489 27.1186 5.8907 27.298
"138" 35.701 22.6803 5.4357 22.7051
"139" 35.5217 24.3077 5.6058 25.3517
"140" 35.6904 24.6335 5.8111 24.6248
"141" 35.5851 21.9179 5.7398 22.2715
"142" 35.6969 25.8059 5.3965 25.4838
"143" 35.6239 22.3968 5.4574 21.9634
"144" 35.6696 20.9723 5.5541 21.7267
"145" 35.6662 22.8585 5.4826 22.5283
"146" 35.8256 23.2794 5.5692 23.0874
"147" 35.5273 25.7652 5.7629 26.183
"148" 35.6667 21.4084 5.558 22.3161
"149" 35.5056 22.9315 5.649 23.7554
"150" 35.8955 27.6862 5.5093 27.6816
"151" 35.687 26.321 5.7186 26.2466
"152" 35.4843 23.015 5.6004 23.5567
"153" 35.4355 27.244 5.7777 27.7867
"154" 35.5527 24.8739 5.7302 26.3427
"155" 35.858 26.0068 5.585 26.3955
"156" 35.7878 24.3808 5.5418 24.9678
"157" 35.6677 25.2891 5.5136 25.3032
"158" 35.5594 22.4664 5.683 23.6742
"159" 35.9327 27.8464 5.5664 27.6827
"160" 35.7017 20.5336 5.5729 21.3873
"161" 35.8426 27.8152 5.5943 27.6347
"162" 35.4593 25.9048 5.6939 25.8188
"163" 35.4382 23.4249 5.6108 22.9953
"164" 35.5027 22.923 5.6937 23.508
"165" 35.4145 27.5323 5.8212 27.4642
"166" 35.7306 26.9659 5.4418 26.5857
"167" 35.8583 26.3718 5.5199 26.7626
"168" 35.5735 26.0562 5.7885 26.8698
"169" 35.5196 22.875 5.5701 22.5362
"170" 35.8076 27.7173 5.5211 27.4047
"171" 35.3984 23.5016 5.7354 25.1238
"172" 35.6129 27.4313 5.7406 27.3305
"173" 35.4722 25.268 5.6996 26.519
"174" 35.3507 24.6078 5.6598 24.7954
"175" 35.7551 25.5055 5.7734 26.1391
"176" 35.867 27.5301 5.584 27.2333
"177" 35.683 27.2277 5.7867 27.3819
"178" 35.7497 23.1561 5.5041 22.8734
"179" 35.703 20.9234 5.6105 22.1366
"180" 35.6757 21.1835 5.6058 22.4017
"181" 35.6493 26.6888 5.8279 27.5199
"182" 35.8687 28.0775 5.5145 28.1243
"183" 35.6785 26.4961 5.6763 26.3901
"184" 35.7978 27.4668 5.5552 27.5519
"185" 35.615 27.6022 5.7785 27.6334
"186" 35.7355 26.0576 5.4961 26.4484
"187" 35.4586 25.5949 5.7094 25.5748
"188" 35.4581 23.4076 5.5885 22.931
"189" 35.7577 27.2188 5.6386 26.8902
"190" 35.3071 26.7765 5.8586 27.5017
"191" 35.4375 25.7864 5.7242 26.5292
"192" 35.6844 22.2063 5.674 22.1205
"193" 35.4518 25.3591 5.7336 25.9895
"194" 35.4542 26.0233 5.8853 26.8546
"195" 35.4534 26.0436 5.8124 26.2404
"196" 35.755 24.3132 5.5551 24.8288
"197" 35.5775 22.4708 5.6587 22.989
"198" 35.6093 22.4975 5.6765 22.923
"199" 35.6466 21.3504 5.5734 21.8966
"200" 35.5121 24.6322 5.6618 25.1732
"201" 35.713 27.6904 5.7204 27.3985
"202" 35.7109 22.2386 5.7481 21.2298
"203" 35.6761 21.0016 5.6466 22.08
"204" 35.5178 22.2767 5.6753 23.035
"205" 35.6719 21.6506 5.5377 22.4378
"206" 35.8739 26.2537 5.521 26.7603
"207" 35.6355 22.8239 5.5743 23.2525
"208" 35.8611 27.6384 5.6272 27.726
